No,year,month,day,hour,PM2.5_shunyi,PM10_shunyi,TEMP_shunyi,DEWP_shunyi,WSPM_shunyi,PM2.5_guanyan,PM10_guanyan,TEMP_guanyan,DEWP_guanyan,WSPM_guanyan,PM2.5_Percentile_Category_shunyi,PM10_Percentile_Category_shunyi,PM2.5_Percentile_Category_guanyan,PM10_Percentile_Category_guanyan
1,2013,3,1,0,3.0,6.0,-0.9,-20.5,9.3,4.0,4.0,-0.7,-18.8,4.4,Low,Low,Low,Low
2,2013,3,1,1,12.0,12.0,-1.1,-21.3,9.4,4.0,4.0,-1.1,-18.2,4.7,Low,Low,Low,Low
3,2013,3,1,2,14.0,14.0,-1.7,-23.0,8.6,3.0,3.0,-1.1,-18.2,5.6,Low,Low,Low,Low
4,2013,3,1,3,12.0,12.0,-2.1,-23.3,6.6,3.0,6.0,-1.4,-19.4,3.1,Low,Low,Low,Low
5,2013,3,1,4,12.0,12.0,-2.4,-22.9,4.5,3.0,6.0,-2.0,-19.5,2.0,Low,Low,Low,Low
6,2013,3,1,5,11.0,11.0,-2.8,-22.1,1.7,3.0,6.0,-2.2,-19.6,3.7,Low,Low,Low,Low
7,2013,3,1,6,12.0,12.0,-4.0,-21.2,1.6,6.0,6.0,-2.6,-19.1,2.5,Low,Low,Low,Low
8,2013,3,1,7,13.0,13.0,-2.4,-21.3,1.7,3.0,3.0,-1.6,-19.1,3.8,Low,Low,Low,Low
9,2013,3,1,8,8.0,8.0,-1.0,-21.8,2.7,3.0,6.0,0.1,-19.2,4.1,Low,Low,Low,Low
10,2013,3,1,9,3.0,6.0,0.0,-22.9,0.8,7.0,11.0,1.2,-19.3,2.6,Low,Low,Low,Low
11,2013,3,1,10,3.0,6.0,0.7,-21.6,2.5,3.0,8.0,1.9,-19.4,3.6,Low,Low,Low,Low
12,2013,3,1,11,6.0,6.0,1.7,-21.5,1.4,3.0,6.0,2.9,-20.5,3.7,Low,Low,Low,Low
13,2013,3,1,12,8.0,8.0,2.8,-20.6,2.1,7.0,14.0,3.9,-19.7,5.1,Low,Low,Low,Low
14,2013,3,1,13,5.0,5.0,3.7,-20.6,2.1,12.0,14.0,5.3,-19.3,4.3,Low,Low,Low,Low
15,2013,3,1,14,5.0,5.0,4.6,-20.7,3.4,14.0,16.0,6.0,-19.6,4.4,Low,Low,Low,Low
16,2013,3,1,15,8.0,8.0,5.2,-20.2,2.6,12.0,21.0,6.2,-18.6,2.8,Low,Low,Low,Low
17,2013,3,1,16,7.0,7.0,4.9,-20.4,1.0,13.0,22.0,5.9,-18.1,3.9,Low,Low,Low,Low
18,2013,3,1,17,10.0,10.0,4.1,-19.5,2.0,9.0,28.0,4.3,-18.7,2.8,Low,Low,Low,Low
19,2013,3,1,18,3.0,6.0,2.3,-17.3,0.6,10.0,21.0,3.1,-18.4,2.1,Low,Low,Low,Low
20,2013,3,1,19,3.0,8.0,1.6,-19.0,1.9,13.0,17.0,2.3,-18.4,2.8,Low,Low,Low,Low
21,2013,3,1,20,13.0,13.0,0.6,-18.7,2.0,12.0,14.0,1.7,-17.3,2.1,Low,Low,Low,Low
22,2013,3,1,21,9.0,14.0,0.2,-18.5,2.5,11.0,14.0,0.6,-16.7,0.8,Low,Low,Low,Low
23,2013,3,1,22,5.0,11.0,-0.3,-18.5,2.2,10.0,15.0,0.9,-17.4,1.8,Low,Low,Low,Low
24,2013,3,1,23,9.0,11.0,-0.7,-17.9,2.8,13.0,15.0,-0.2,-17.4,1.4,Low,Low,Low,Low
25,2013,3,2,0,5.0,7.0,-1.0,-18.1,3.2,6.0,15.0,-0.4,-17.6,1.4,Low,Low,Low,Low
26,2013,3,2,1,3.0,6.0,-1.5,-18.1,1.0,3.0,8.0,-1.0,-17.3,1.1,Low,Low,Low,Low
27,2013,3,2,2,4.0,4.0,-1.6,-18.2,2.1,4.0,6.0,-1.5,-16.9,1.7,Low,Low,Low,Low
28,2013,3,2,3,8.0,8.0,-2.0,-18.1,1.4,3.0,6.0,-1.4,-17.6,1.4,Low,Low,Low,Low
29,2013,3,2,4,6.0,6.0,-2.5,-17.7,1.7,3.0,6.0,-1.5,-17.7,0.9,Low,Low,Low,Low
30,2013,3,2,5,6.0,6.0,-3.1,-17.1,0.7,3.0,6.0,-1.8,-17.5,2.0,Low,Low,Low,Low
31,2013,3,2,6,4.0,6.0,-2.8,-17.2,0.9,3.0,6.0,-2.5,-17.7,0.7,Low,Low,Low,Low
32,2013,3,2,7,13.0,98.7370263066404,-2.7,-16.4,1.3,3.0,6.0,-1.7,-17.0,1.2,Low,High,Low,Low
33,2013,3,2,8,12.0,12.0,-1.5,-16.5,1.6,3.0,6.0,-0.4,-17.6,1.8,Low,Low,Low,Low
34,2013,3,2,9,12.0,10.0,-0.4,-16.7,1.7,3.0,8.0,0.6,-16.7,1.7,Low,Low,Low,Low
